#node	date	numeric date
NODE_0000052	2010-03-13	2010.199393
A/BRISBANE/159/2011|EPI_ISL_95229|Queensland|2011-05-12	2011-05-12	2011.361396
A/DARWIN/92/2011|EPI_ISL_94858|NT|2011-04-04	2011-04-04	2011.257358
NODE_0000054	2009-06-09	2009.438863
A/CANBERRA/2/2010|EPI_ISL_78689|ACT|2010-06-24	2010-06-24	2010.479124
A/Victoria/8/2010|EPI_ISL_167305|VIC|2010	2010-01-01	2010.000000
NODE_0000055	2008-10-27	2008.821505
A/SOUTHAUSTRALIA/414/2010|EPI_ISL_83868|SA|2010-10-04	2010-10-04	2010.758385
NODE_0000056	2009-03-10	2009.190660
NODE_0000057	2010-05-02	2010.336075
A/BRISBANE/233/2011|EPI_ISL_99732|QLD|2011-06-17	2011-06-17	2011.459959
A/SouthAustralia/36/2012|EPI_ISL_192759|SA|2012-05-28	2012-05-29	2012.407940
NODE_0000059	2010-07-14	2010.535033
NODE_0000062	2011-03-10	2011.189342
A/SOUTHAUSTRALIA/17/2011|EPI_ISL_122565|SA|2011-07-18	2011-07-18	2011.544832
A/SOUTHAUSTRALIA/299/2011|EPI_ISL_106865|SA|2011-10-24	2011-10-24	2011.813142
NODE_0000690	2010-08-22	2010.642909
NODE_0000638	2010-08-23	2010.644078
A/BRISBANE/417/2011|EPI_ISL_118611|Queensland|2011-12-22	2011-12-22	2011.974675
NODE_0000061	2011-09-18	2011.715436
A/Sydney/195/2012|EPI_ISL_135839|NSW|2012-08-06	2012-08-07	2012.599589
A/BRISBANE/11/2012|EPI_ISL_121682|QLD|2012-02-13	2012-02-13	2012.120465
NODE_0000064	2011-05-10	2011.357697
NODE_0000065	2011-11-04	2011.843442
A/VICTORIA/175/2012|EPI_ISL_137776|VIC|2012-05-19	2012-05-20	2012.383299
A/VICTORIA/873/2012|EPI_ISL_128708|VIC|2012-08-16	2012-08-17	2012.626968
NODE_0000066	2011-07-10	2011.523175
A/Victoria/173/2012|EPI_ISL_192791|VIC|2012-08-06	2012-08-07	2012.599589
NODE_0000067	2011-10-09	2011.774105
A/CANBERRA/5/2012|EPI_ISL_128635|ACT|2012-06-06	2012-06-07	2012.432580
NODE_0000068	2012-01-29	2012.079402
A/VICTORIA/346/2012|EPI_ISL_128655|VIC|2012-07-12	2012-07-13	2012.531143
A/Victoria/181/2012|EPI_ISL_192793|VIC|2012-08-13	2012-08-14	2012.618754
A/Townsville/1004/2012|EPI_ISL_192778|QLD|2012-08-13	2012-08-14	2012.618754
A/PERTH/288/2012|EPI_ISL_134460|WA|2012-08-09	2012-08-10	2012.607803
NODE_0000071	2009-10-08	2009.771317
A/SouthAustralia/2/2013|EPI_ISL_219304|SA|2013-01-09	2013-01-09	2013.024641
NODE_0000073	2010-04-29	2010.327512
A/Maryland/02/2012|EPI_ISL_129055|NSW|2012-01-18	2012-01-18	2012.049281
NODE_0000077	2010-09-08	2010.687639
A/VICTORIA/26/2011|EPI_ISL_99745|VIC|2011-08-05	2011-08-05	2011.594114
A/NEWCASTLE/48/2011|EPI_ISL_99729|NSW|2011-06-29	2011-06-29	2011.492813
NODE_0000691	2010-06-06	2010.432209
A/Brisbane/14/2012|EPI_ISL_172968|QLD|2012-02-06	2012-02-06	2012.101300
NODE_0000639	2010-09-24	2010.732246
NODE_0000076	2010-12-20	2010.970150
A/SOUTHAUSTRALIA/280/2011|EPI_ISL_99775|SA|2011-10-02	2011-10-02	2011.752909
A/Perth/164/2011|EPI_ISL_192738|WA|2011-08-29	2011-08-29	2011.659822
NODE_0000640	2011-01-22	2011.060794
A/VICTORIA/704/2011|EPI_ISL_106866|VIC|2011-10-10	2011-10-10	2011.774812
NODE_0000641	2011-03-29	2011.242183
