name,cdate
A/Victoria/2071/2015|EPI_ISL_209048|2015-08-03,2015-08-03
A/Sydney/199/2015|EPI_ISL_209047|2015-10-19,2015-10-19
A/Victoria/664/2015|EPI_ISL_209046|2015-09-22,2015-09-22
A/Perth/99/2015|EPI_ISL_206570|2015-08-07,2015-08-07
A/SouthAustralia/21/2015|EPI_ISL_206150|2015-03-13,2015-03-13
A/SouthAustralia/21/2015|EPI_ISL_205161|2015-03-13,2015-03-13
A/Victoria/511/2015|EPI_ISL_205159|2015-05-16,2015-05-16
A/SouthAustralia/133/2015|EPI_ISL_202712|2015-09-25,2015-09-25
A/Perth/68/2015|EPI_ISL_202703|2015-07-15,2015-07-15
A/Sydney/1022/2015|EPI_ISL_202700|2015-08-20,2015-08-20
A/SouthAustralia/119/2015|EPI_ISL_202699|2015-08-21,2015-08-21
A/Victoria/3061/2015|EPI_ISL_202698|2015-09-04,2015-09-04
A/Victoria/3059/2015|EPI_ISL_202697|2015-09-04,2015-09-04
A/Tasmania/1007/2015|EPI_ISL_202694|2015-07-06,2015-07-06
A/Brisbane/1009/2015|EPI_ISL_202690|2015-08-22,2015-08-22
A/SouthAustralia/130/2015|EPI_ISL_202687|2015-09-12,2015-09-12
A/SouthAustralia/127/2015|EPI_ISL_202684|2015-08-28,2015-08-28
A/Perth/59/2015|EPI_ISL_202665|2015-07-07,2015-07-07
A/Victoria/1011/2015|EPI_ISL_202662|2015-08-04,2015-08-04
A/SouthAustralia/1014/2015|EPI_ISL_202661|2015-08-02,2015-08-02
A/SouthAustralia/1025/2015|EPI_ISL_202660|2015-08-04,2015-08-04
A/SouthAustralia/1013/2015|EPI_ISL_202657|2015-08-03,2015-08-03
A/SouthAustralia/1011/2015|EPI_ISL_202655|2015-08-06,2015-08-06
A/SouthAustralia/1010/2015|EPI_ISL_202654|2015-08-11,2015-08-11
A/Victoria/44/2015|EPI_ISL_202652|2015-08-07,2015-08-07
A/Victoria/43/2015|EPI_ISL_202650|2015-08-07,2015-08-07
A/Sydney/1034/2015|EPI_ISL_202648|2015-09-07,2015-09-07
A/Victoria/23/2015|EPI_ISL_202641|2015-07-23,2015-07-23
A/Victoria/1005/2015|EPI_ISL_202640|2015-07-11,2015-07-11
A/Victoria/48/2015|EPI_ISL_202639|2015-08-10,2015-08-10
A/Victoria/47/2015|EPI_ISL_202638|2015-08-10,2015-08-10
