name,state,cdate
A/Victoria/17/2015|EPI_ISL_202588|VIC|2015-07-08,VIC,2015-07-08
A/Brisbane/1003/2015|EPI_ISL_202585|QLD|2015-07-28,QLD,2015-07-28
A/SouthAustralia/1016/2015|EPI_ISL_202579|SA|2015-08-03,SA,2015-08-03
A/Sydney/1030/2015|EPI_ISL_202455|NSW|2015-08-05,NSW,2015-08-05
A/Sydney/57/2015|EPI_ISL_198059|NSW|2015-06-19,NSW,2015-06-19
A/Brisbane/140/2015|EPI_ISL_198057|QLD|2015-07-06,QLD,2015-07-06
A/Victoria/823/2015|EPI_ISL_198044|VIC|2015-07-23,VIC,2015-07-23
A/Brisbane/132/2015|EPI_ISL_198031|QLD|2015-06-29,QLD,2015-06-29
A/Victoria/16/2015|EPI_ISL_198024|VIC|2015-07-09,VIC,2015-07-09
A/Victoria/15/2015|EPI_ISL_198023|VIC|2015-07-09,VIC,2015-07-09
A/Victoria/531/2015|EPI_ISL_198013|VIC|2015-06-28,VIC,2015-06-28
A/Victoria/535/2015|EPI_ISL_198010|VIC|2015-07-11,VIC,2015-07-11
A/Victoria/522/2015|EPI_ISL_198002|VIC|2015-06-30,VIC,2015-06-30
A/Victoria/519/2015|EPI_ISL_198000|VIC|2015-06-27,VIC,2015-06-27
A/Victoria/515/2015|EPI_ISL_197992|VIC|2015-06-28,VIC,2015-06-28
A/Brisbane/115/2015|EPI_ISL_197975|QLD|2015-06-09,QLD,2015-06-09
A/Sydney/1006/2015|EPI_ISL_197968|NSW|2015-06-18,NSW,2015-06-18
A/Brisbane/1000/2015|EPI_ISL_197966|QLD|2015-06-05,QLD,2015-06-05
A/Perth/43/2015|EPI_ISL_197959|WA|2015-05-21,WA,2015-05-21
A/Perth/24/2015|EPI_ISL_197953|WA|2015-03-19,WA,2015-03-19
A/Brisbane/74/2015|EPI_ISL_197941|QLD|2015-04-14,QLD,2015-04-14
A/SouthAustralia/64/2015|EPI_ISL_197940|SA|2015-05-22,SA,2015-05-22
A/Newcastle/4/2015|EPI_ISL_197927|NSW|2015-04-06,NSW,2015-04-06
A/SouthAustralia/60/2015|EPI_ISL_197923|SA|2015-05-03,SA,2015-05-03
A/Canberra/13/2015|EPI_ISL_197922|ACT|2015-03-23,ACT,2015-03-23
A/SouthAustralia/52/2015|EPI_ISL_197917|SA|2015-04-22,SA,2015-04-22
A/Victoria/509/2015|EPI_ISL_197910|VIC|2015-04-24,VIC,2015-04-24
A/Sydney/27/2015|EPI_ISL_197908|NSW|2015-04-09,NSW,2015-04-09
A/Townsville/11/2015|EPI_ISL_197897|QLD|2015-03-23,QLD,2015-03-23
A/Townsville/8/2015|EPI_ISL_197886|QLD|2015-03-16,QLD,2015-03-16
A/Sydney/506/2015|EPI_ISL_197874|NSW|2015-01-03,NSW,2015-01-03
A/Townsville/6/2015|EPI_ISL_197870|QLD|2015-01-22,QLD,2015-01-22
A/Tasmania/2/2015|EPI_ISL_197855|TAS|2015-02-23,TAS,2015-02-23
A/Sydney/6/2015|EPI_ISL_197853|NSW|2015-01-05,NSW,2015-01-05
A/VICTORIA/673/2014|EPI_ISL_195752|VIC|2014-09-07,VIC,2014-09-07
A/Tasmania/7/2015|EPI_ISL_194544|TAS|2015-04-20,TAS,2015-04-20
A/Sydney/529/2014|EPI_ISL_194538|NSW|2014-11-20,NSW,2014-11-20
A/Sydney/20/2015|EPI_ISL_194533|NSW|2015-03-24,NSW,2015-03-24
A/SouthAustralia/57/2015|EPI_ISL_194528|SA|2015-04-20,SA,2015-04-20
A/SouthAustralia/49/2015|EPI_ISL_194527|SA|2015-04-06,SA,2015-04-06
A/Canberra/12/2015|EPI_ISL_194498|ACT|2015-02-12,ACT,2015-02-12
A/Victoria/901/2015|EPI_ISL_192825|VIC|2015-02-07,VIC,2015-02-07
A/Victoria/70/2012|EPI_ISL_192823|VIC|2012-06-30,VIC,2012-06-30
A/Victoria/69/2014|EPI_ISL_192822|VIC|2014-07-16,VIC,2014-07-16
A/Victoria/64/2012|EPI_ISL_192821|VIC|2012-06-27,VIC,2012-06-27
A/Victoria/57/2012|EPI_ISL_192820|VIC|2012-06-26,VIC,2012-06-26
A/Victoria/5071/2014|EPI_ISL_192819|VIC|2014-10-03,VIC,2014-10-03
A/Victoria/5064/2014|EPI_ISL_192817|VIC|2014-09-22,VIC,2014-09-22
A/Victoria/5062/2014|EPI_ISL_192815|VIC|2014-09-23,VIC,2014-09-23
A/Victoria/5057/2014|EPI_ISL_192813|VIC|2014-09-18,VIC,2014-09-18
A/Victoria/5049/2014|EPI_ISL_192810|VIC|2014-09-11,VIC,2014-09-11
A/Victoria/5025/2014|EPI_ISL_192807|VIC|2014-09-01,VIC,2014-09-01
A/Victoria/5021/2014|EPI_ISL_192806|VIC|2014-08-29,VIC,2014-08-29
A/Victoria/5018/2014|EPI_ISL_192805|VIC|2014-08-29,VIC,2014-08-29
A/Victoria/5003/2014|EPI_ISL_192804|VIC|2014-08-25,VIC,2014-08-25
A/Victoria/50/2012|EPI_ISL_192802|VIC|2012-06-25,VIC,2012-06-25
A/Victoria/3/2012|EPI_ISL_192801|VIC|2012-05-07,VIC,2012-05-07
A/Victoria/214/2012|EPI_ISL_192798|VIC|2012-08-29,VIC,2012-08-29
A/Victoria/213/2012|EPI_ISL_192797|VIC|2012-08-28,VIC,2012-08-28
A/Victoria/195/2012|EPI_ISL_192796|VIC|2012-08-22,VIC,2012-08-22
A/Victoria/189/2012|EPI_ISL_192795|VIC|2012-08-15,VIC,2012-08-15
A/Victoria/187/2012|EPI_ISL_192794|VIC|2012-08-16,VIC,2012-08-16
A/Victoria/181/2012|EPI_ISL_192793|VIC|2012-08-13,VIC,2012-08-13
A/Victoria/180/2012|EPI_ISL_192792|VIC|2012-08-13,VIC,2012-08-13
A/Victoria/173/2012|EPI_ISL_192791|VIC|2012-08-06,VIC,2012-08-06
A/Victoria/150/2012|EPI_ISL_192789|VIC|2012-07-27,VIC,2012-07-27
A/Victoria/148/2012|EPI_ISL_192788|VIC|2012-07-25,VIC,2012-07-25
A/Victoria/142/2012|EPI_ISL_192785|VIC|2012-07-23,VIC,2012-07-23
A/Victoria/140/2012|EPI_ISL_192784|VIC|2012-07-25,VIC,2012-07-25
A/Victoria/122/2012|EPI_ISL_192783|VIC|2012-07-16,VIC,2012-07-16
A/Victoria/119/2012|EPI_ISL_192782|VIC|2012-07-16,VIC,2012-07-16
A/Townsville/1004/2012|EPI_ISL_192778|QLD|2012-08-13,QLD,2012-08-13
A/Sydney/1065/2014|EPI_ISL_192771|NSW|2014-09-01,NSW,2014-09-01
A/Sydney/10/2015|EPI_ISL_192769|NSW|2015-02-20,NSW,2015-02-20
A/Sydney/1/2015|EPI_ISL_192768|NSW|2015-01-11,NSW,2015-01-11
A/SouthAustralia/9/2015|EPI_ISL_192760|SA|2015-02-12,SA,2015-02-12
A/SouthAustralia/36/2012|EPI_ISL_192759|SA|2012-05-28,SA,2012-05-28
A/SouthAustralia/212/2011|EPI_ISL_192757|SA|2011-09-13,SA,2011-09-13
A/SouthAustralia/205/2011|EPI_ISL_192755|SA|2011-09-05,SA,2011-09-05
A/SouthAustralia/111/2012|EPI_ISL_192751|SA|2012-07-06,SA,2012-07-06
A/SouthAustralia/1/2015|EPI_ISL_192749|SA|2015-02-07,SA,2015-02-07
A/Perth/551/2014|EPI_ISL_192748|WA|2014-05-08,WA,2014-05-08
A/Perth/327/2011|EPI_ISL_192747|WA|2011-11-14,WA,2011-11-14
A/Perth/249/2011|EPI_ISL_192744|WA|2011-09-27,WA,2011-09-27
A/Perth/247/2013|EPI_ISL_192743|WA|2013-10-07,WA,2013-10-07
A/Perth/196/2011|EPI_ISL_192741|WA|2011-09-12,WA,2011-09-12
A/Perth/185/2011|EPI_ISL_192739|WA|2011-09-07,WA,2011-09-07
A/Perth/164/2011|EPI_ISL_192738|WA|2011-08-29,WA,2011-08-29
A/Perth/153/2012|EPI_ISL_192737|WA|2012-07-02,WA,2012-07-02
A/Perth/16/2009|EPI_ISL_176456|WA|2009-04-07,WA,2009-04-07
A/Canberra/82/2014|EPI_ISL_174194|ACT|2014-07-31,ACT,2014-07-31
A/Sydney/30/2014|EPI_ISL_173207|NSW|2014-03-02,NSW,2014-03-02
A/Brisbane/21/2012|EPI_ISL_172969|QLD|2012-03-04,QLD,2012-03-04
A/Brisbane/14/2012|EPI_ISL_172968|QLD|2012-02-06,QLD,2012-02-06
A/Brisbane/501/2011|EPI_ISL_172964|QLD|2011-03-19,QLD,2011-03-19
A/Sydney/602/2009|EPI_ISL_172958|NSW|2009-02-07,NSW,2009-02-07
A/Victoria/5060/2014|EPI_ISL_172428|VIC|2014-09-19,VIC,2014-09-19
A/Sydney/327/2014|EPI_ISL_171817|NSW|2014-12-03,NSW,2014-12-03
A/Sydney/236/2014|EPI_ISL_171778|NSW|2014-08-21,NSW,2014-08-21
A/Brisbane/368/2014|EPI_ISL_171769|QLD|2014-11-21,QLD,2014-11-21
A/VICTORIA/2078/2014|EPI_ISL_168959|VIC|2014-09-10,VIC,2014-09-10
A/TASMANIA/37/2014|EPI_ISL_168933|TAS|2014-08-06,TAS,2014-08-06
A/TASMANIA/122/2014|EPI_ISL_168932|TAS|2014-09-05,TAS,2014-09-05
A/SOUTHAUSTRALIA/1007/2014|EPI_ISL_168916|NSW|2014-07-09,NSW,2014-07-09
A/NEWCASTLE/1016/2014|EPI_ISL_168904|NSW|2014-08-06,NSW,2014-08-06
A/Victoria/361/2011|EPI_ISL_167307|VIC|2011,VIC,2011
A/Victoria/8/2010|EPI_ISL_167305|VIC|2010,VIC,2010
A/Victoria/208/2009|EPI_ISL_167304|VIC|2009,VIC,2009
A/Victoria/500/2009|EPI_ISL_167300|VIC|2009,VIC,2009
A/Tasmania/11/2014|EPI_ISL_166748|TAS|2014-03-16,TAS,2014-03-16
A/SouthAustralia/55/2014|EPI_ISL_166745|SA|2014-06-14,SA,2014-06-14
A/TASMANIA/15/2014|EPI_ISL_166140|TAS|2014-06-04,TAS,2014-06-04
A/PERTH/515/2014|EPI_ISL_166133|WA|2014-02-16,WA,2014-02-16
A/SYDNEY/37/2014|EPI_ISL_166132|NSW|2014-02-15,NSW,2014-02-15
A/PERTH/522/2014|EPI_ISL_166130|WA|2014-03-11,WA,2014-03-11
A/PERTH/526/2014|EPI_ISL_166124|WA|2014-03-17,WA,2014-03-17
A/SYDNEY/85/2014|EPI_ISL_166038|NSW|2014-06-03,NSW,2014-06-03
A/SYDNEY/84/2014|EPI_ISL_166037|NSW|2014-05-22,NSW,2014-05-22
A/VICTORIA/27/2014|EPI_ISL_166030|VIC|2014-06-25,VIC,2014-06-25
A/NEWCASTLE/20/2014|EPI_ISL_165907|NSW|2014-02-07,NSW,2014-02-07
A/VICTORIA/806/2014|EPI_ISL_165906|VIC|2014-04-28,VIC,2014-04-28
A/Brisbane/43/2014|EPI_ISL_165893|QLD|2014-02-17,QLD,2014-02-17
A/Sydney/20/2014|EPI_ISL_165890|NSW|2014-01-26,NSW,2014-01-26
A/SOUTHAUSTRALIA/55/2014|EPI_ISL_165592|SA|2014-06-14,SA,2014-06-14
A/VICTORIA/503/2014|EPI_ISL_164984|VIC|2014-05-05,VIC,2014-05-05
A/NEWCASTLE/25/2014|EPI_ISL_164980|NSW|2014-05-04,NSW,2014-05-04
A/SYDNEY/8/2014|EPI_ISL_161906|NSW|2014-01-11,NSW,2014-01-11
A/TASMANIA/3/2014|EPI_ISL_161904|TAS|2014-01-06,TAS,2014-01-06
A/SYDNEY/83/2013|EPI_ISL_161897|NSW|2013-11-21,NSW,2013-11-21
A/VICTORIA/640/2013|EPI_ISL_161302|VIC|2013-10-14,VIC,2013-10-14
A/CANBERRA/113/2013|EPI_ISL_161285|ACT|2013-10-11,ACT,2013-10-11
A/BRISBANE/141/2013|EPI_ISL_161283|QLD|2013-08-18,QLD,2013-08-18
A/SOUTHAUSTRALIA/79/2013|EPI_ISL_161281|SA|2013-09-23,SA,2013-09-23
A/BRISBANE/24/2013|EPI_ISL_161270|QLD|2013-02-25,QLD,2013-02-25
A/BRISBANE/16/2013|EPI_ISL_161268|QLD|2013-02-13,QLD,2013-02-13
A/PERTH/164/2013|EPI_ISL_151587|WA|2013-08-29,WA,2013-08-29
A/VICTORIA/528/2013|EPI_ISL_151492|VIC|2013-07-19,VIC,2013-07-19
A/TOWNSVILLE/33/2013|EPI_ISL_145320|QUEENSLAND|2013-03-21,QUEENSLAND,2013-03-21
A/BRISBANE/3/2013|EPI_ISL_141599|Queensland|2013-01-07,Queensland,2013-01-07
A/TASMANIA/1/2013|EPI_ISL_141559|TAS|2013-02-22,TAS,2013-02-22
A/SOUTHAUSTRALIA/8/2013|EPI_ISL_141558|SA|2013-03-06,SA,2013-03-06
A/VICTORIA/175/2012|EPI_ISL_137776|VIC|2012-05-19,VIC,2012-05-19
A/VICTORIA/120/2012|EPI_ISL_137773|VIC|2012-08-18,VIC,2012-08-18
A/VICTORIA/78/2012|EPI_ISL_137770|VIC|2012-07-16,VIC,2012-07-16
A/VICTORIA/7/2012|EPI_ISL_137764|VIC|2012-06-18,VIC,2012-06-18
A/Sydney/195/2012|EPI_ISL_135839|NSW|2012-08-06,NSW,2012-08-06
A/TASMANIA/60/2012|EPI_ISL_134528|TAS|2012-08-20,TAS,2012-08-20
A/PERTH/288/2012|EPI_ISL_134460|WA|2012-08-09,WA,2012-08-09
A/BRISBANE/132/2012|EPI_ISL_134454|Queensland|2012-07-30,Queensland,2012-07-30
A/Maryland/02/2012|EPI_ISL_129055|NSW|2012-01-18,NSW,2012-01-18
A/DARWIN/1001/2012|EPI_ISL_128749|NT|2012-07-16,NT,2012-07-16
A/VICTORIA/873/2012|EPI_ISL_128708|VIC|2012-08-16,VIC,2012-08-16
A/CANBERRA/33/2012|EPI_ISL_128671|ACT|2012-07-07,ACT,2012-07-07
A/VICTORIA/346/2012|EPI_ISL_128655|VIC|2012-07-12,VIC,2012-07-12
A/SOUTHAUSTRALIA/66/2012|EPI_ISL_128639|SA|2012-06-24,SA,2012-06-24
A/CANBERRA/5/2012|EPI_ISL_128635|ACT|2012-06-06,ACT,2012-06-06
A/BRISBANE/27/2012|EPI_ISL_122604|Queensland|2012-03-19,Queensland,2012-03-19
A/Brisbane/11/2010|EPI_ISL_127628|QLD|2010,QLD,2010
A/Perth/10/2010|EPI_ISL_127604|WA|2010,WA,2010
A/SOUTHAUSTRALIA/39/2012|EPI_ISL_122577|SA|2012-06-01,SA,2012-06-01
A/SYDNEY/200/2012|EPI_ISL_122572|NSW|2012-01-09,NSW,2012-01-09
A/SOUTHAUSTRALIA/17/2011|EPI_ISL_122565|SA|2011-07-18,SA,2011-07-18
A/BRISBANE/29/2012|EPI_ISL_122564|QLD|2012-03-31,QLD,2012-03-31
A/BRISBANE/38/2012|EPI_ISL_122561|Queensland|2012-04-18,Queensland,2012-04-18
A/BRISBANE/26/2012|EPI_ISL_122541|QLD|2012-03-08,QLD,2012-03-08
A/TASMANIA/2/2012|EPI_ISL_121687|TAS|2012-03-21,TAS,2012-03-21
A/BRISBANE/11/2012|EPI_ISL_121682|QLD|2012-02-13,QLD,2012-02-13
A/BRISBANE/417/2011|EPI_ISL_118611|Queensland|2011-12-22,Queensland,2011-12-22
A/SYDNEY/97/2011|EPI_ISL_118601|NSW|2011-11-06,NSW,2011-11-06
A/VICTORIA/725/2011|EPI_ISL_118579|VIC|2011-12-04,VIC,2011-12-04
A/VICTORIA/892/2011|EPI_ISL_106867|VIC|2011-11-04,VIC,2011-11-04
A/VICTORIA/704/2011|EPI_ISL_106866|VIC|2011-10-10,VIC,2011-10-10
A/SOUTHAUSTRALIA/299/2011|EPI_ISL_106865|SA|2011-10-24,SA,2011-10-24
A/Tasmania/32/2011|EPI_ISL_106864|TAS|2011-10-05,TAS,2011-10-05
A/BRISBANE/382/2011|EPI_ISL_106861|QLD|2011-09-06,QLD,2011-09-06
A/Brisbane/299/2011|EPI_ISL_106108|QLD|2011-08-13,QLD,2011-08-13
A/SOUTHAUSTRALIA/280/2011|EPI_ISL_99775|SA|2011-10-02,SA,2011-10-02
A/VICTORIA/335/2011|EPI_ISL_99773|VIC|2011-09-28,VIC,2011-09-28
A/VICTORIA/304/2011|EPI_ISL_99766|VIC|2011-09-14,VIC,2011-09-14
A/PERTH/81/2011|EPI_ISL_99757|WA|2011-08-05,WA,2011-08-05
A/VICTORIA/26/2011|EPI_ISL_99745|VIC|2011-08-05,VIC,2011-08-05
A/BRISBANE/233/2011|EPI_ISL_99732|QLD|2011-06-17,QLD,2011-06-17
A/VICTORIA/5/2011|EPI_ISL_99730|VIC|2011-07-04,VIC,2011-07-04
A/NEWCASTLE/48/2011|EPI_ISL_99729|NSW|2011-06-29,NSW,2011-06-29
A/BRISBANE/159/2011|EPI_ISL_95229|Queensland|2011-05-12,Queensland,2011-05-12
A/DARWIN/92/2011|EPI_ISL_94858|NT|2011-04-04,NT,2011-04-04
A/VICTORIA/803/2011|EPI_ISL_94856|VIC|2011-04-02,VIC,2011-04-02
A/VICTORIA/1034/2010|EPI_ISL_94833|VIC|2010-10-30,VIC,2010-10-30
A/TASMANIA/2/2011|EPI_ISL_94831|TAS|2011-02-13,TAS,2011-02-13
A/TOWNSVILLE/20/2011|EPI_ISL_94826|Queensland|2011-01-26,Queensland,2011-01-26
A/VICTORIA/506/2011|EPI_ISL_94782|VIC|2011-01-15,VIC,2011-01-15
A/Australia/55/2009|EPI_ISL_87164|NSW|2009-07-30,NSW,2009-07-30
A/Australia/22/2009|EPI_ISL_87160|NSW|2009-07-21,NSW,2009-07-21
A/TOWNSVILLE/98/2010|EPI_ISL_86132|QLD|2010-12-13,QLD,2010-12-13
A/TOWNSVILLE/87/2010|EPI_ISL_86128|QLD|2010-11-26,QLD,2010-11-26
A/Victoria/563/2010|EPI_ISL_84063|VIC|2010,VIC,2010
A/Perth/10/2010|EPI_ISL_84060|WA|2010,WA,2010
A/BRISBANE/253/2010|EPI_ISL_83897|Queensland|2010-09-19,Queensland,2010-09-19
A/TOWNSVILLE/60/2010|EPI_ISL_83896|Queensland|2010-10-25,Queensland,2010-10-25
A/VICTORIA/650/2010|EPI_ISL_83869|VIC|2010-10-15,VIC,2010-10-15
A/SOUTHAUSTRALIA/414/2010|EPI_ISL_83868|SA|2010-10-04,SA,2010-10-04
A/SYDNEY/13/2010|EPI_ISL_83809|NSW|2010-08-12,NSW,2010-08-12
A/PERTH/56/2010|EPI_ISL_83808|WA|2010-08-09,WA,2010-08-09
A/PERTH/519/2010|EPI_ISL_79467|WA|2010-06-16,WA,2010-06-16
A/NEWCASTLE/4/2010|EPI_ISL_78694|NSW|2010-06-25,NSW,2010-06-25
A/CANBERRA/2/2010|EPI_ISL_78689|ACT|2010-06-24,ACT,2010-06-24
A/VICTORIA/4/2010|EPI_ISL_77053|VIC|2010-05-11,VIC,2010-05-11
A/Perth/673/2009|EPI_ISL_76619|WA|2009-11-04,WA,2009-11-04
A/Victoria/210/2009|EPI_ISL_76607|VIC|2009-06-02,VIC,2009-06-02
A/Australia/2/2009|EPI_ISL_74160|NSW|2009-07-16,NSW,2009-07-16
A/Victoria/210/2009|EPI_ISL_66566|VIC|2009-06-02,VIC,2009-06-02
A/PERTH/107/2009|EPI_ISL_65133|NT|2009-06-21,NT,2009-06-21
A/PERTH/160/2009|EPI_ISL_65123|WA|2009-07-03,WA,2009-07-03
A/BRISBANE/52/2009|EPI_ISL_60923|QLD|2009-05-18,QLD,2009-05-18
A/SYDNEY/603/2009|EPI_ISL_60918|NSW|2009-02-12,NSW,2009-02-12
A/BRISBANE/54/2009|EPI_ISL_60149|Queensland|2009-05-07,Queensland,2009-05-07
A/Canberra/18/2009|EPI_ISL_60003|ACT|2009-06-30,ACT,2009-06-30
A/Victoria/209/2009|EPI_ISL_33597|VIC|2009-06-02,VIC,2009-06-02
A/Sydney/3/2009|EPI_ISL_32486|NSW|2009-01-20,NSW,2009-01-20
A/Victoria/2036/2017|EPI_ISL_277319|VIC|2017-07-12,VIC,2017-07-12
A/Victoria/533/2017|EPI_ISL_277318|VIC|2017-07-08,VIC,2017-07-08
A/Sydney/149/2017|EPI_ISL_277317|NSW|2017-06-21,NSW,2017-06-21
A/Victoria/21/2017|EPI_ISL_277316|VIC|2017-07-03,VIC,2017-07-03
A/Victoria/15/2017|EPI_ISL_277315|VIC|2017-06-19,VIC,2017-06-19
A/SouthAustralia/185/2017|EPI_ISL_277314|SA|2017-07-01,SA,2017-07-01
A/SouthAustralia/173/2017|EPI_ISL_277311|SA|2017-06-26,SA,2017-06-26
A/Sydney/1017/2017|EPI_ISL_277306|NSW|2017-07-04,NSW,2017-07-04
A/Sydney/1013/2017|EPI_ISL_277305|NSW|2017-06-29,NSW,2017-06-29
A/SouthAustralia/1001/2017|EPI_ISL_277302|SA|2017-02-27,SA,2017-02-27
A/Brisbane/1001/2017|EPI_ISL_277301|QLD|2017-02-27,QLD,2017-02-27
A/Sydney/52/2017|EPI_ISL_275806|NSW|2017,NSW,2017
A/Brisbane/29/2017|EPI_ISL_275805|QLD|2017,QLD,2017
A/Brisbane/321/2016|EPI_ISL_275804|QLD|2016,QLD,2016
A/Sydney/111/2017|EPI_ISL_275596|NSW|2017-04-18,NSW,2017-04-18
A/Sydney/100/2017|EPI_ISL_275593|NSW|2017-03-20,NSW,2017-03-20
A/Sydney/92/2017|EPI_ISL_275588|NSW|2017-03-21,NSW,2017-03-21
A/Sydney/82/2017|EPI_ISL_275582|NSW|2017-04-11,NSW,2017-04-11
A/Sydney/113/2017|EPI_ISL_275579|NSW|2017-04-21,NSW,2017-04-21
A/Sydney/87/2017|EPI_ISL_275578|NSW|2017-03-11,NSW,2017-03-11
A/Tasmania/219/2016|EPI_ISL_275564|TAS|2016-12-15,TAS,2016-12-15
